Tên công việc,Công ty,Bằng cấp,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Số lượng,Yêu cầu,Link
Nhân Viên Kinh Doanh Bất Động Sản Tại Thanh Hóa,Công Ty Cp Đầu Tư Và Kinh Doanh Bất Động Sản Song Vi Bắc Trung Bộ,Trung cấp,5 - 50 triệu,Thanh Hóa,06/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Bất động sản/Marketing,Chưa có kinh nghiệm,Theo hợp đồng tư vấn,50,"Kinh nghiệm: không yêu cầu (được đào tạo căn bản)️Chịu áp lực tốt, cơ hội thăng tiến cao️Có phương tiện đi lại, laptop, điện thoại.️Nghiêm túc học hỏi, thái độ cầu tiến, năng động, tự tin.️Tác phong lịch sự, chuyên nghiệp.Đam mê kinh doanh, đam mê nghề bất động sảnƯu tiên các ứng viên đã từng có kinh nghiệm sales/bán hàng",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-bat-dong-san-tai-thanh-hoa-c13p98id200290314.
Nhân Viên Content Marketing,Công Ty Cổ Phần Tư Vấn Thiết Kế Và Xây Dựng GreenHN,Cao đẳng,10 - 12 triệu,Hà Nội,06/12/2023,Chuyên viên- nhân viên,Kiến trúc - Thiết kế nội ngoại thất/Marketing,1 năm,Toàn thời gian cố định,1,"- Có laptop- Kinh nghiệm tối thiểu 1 năm ở vị trí tương đương.- Có khả năng viết tốt, content sáng tạo, update xu hướng- Am hiểu về các nền tảng Social Media, Website cùng các công cụ hỗ trợ liên quan.- Có kinh nghiệm xây dựng, quản lý, điều hành các kênh trên mạng xã hội.- Ưu tiên các ứng viên tốt nghiệp báo chí, marketing truyền thông...",https://vieclam24h.vn/kien-truc-thiet-ke-noi-ngoai-that/nhan-vien-content-marketing-c4p73id200290178.
Nhân Viên Digital Marketing,Công Ty Trách Nhiệm Hữu Hạn Fazago,Không yêu cầu bằng cấp,7 - 25 triệu,Hà Nội,06/12/2023,Chuyên viên- nhân viên,Marketing,Dưới 1 năm,Toàn thời gian cố định,2,"- Có kinh nghiệm từ 06 tháng.- Phỏng vấn đi làm luôn- Ưu tiên người có kinh nghiệm chạy vi phạm nội dung TPCN, chỉnh sửa Ladipage ( Đối với thị trường Đông Nam Á)- Chạy hàng sạch, ưu tiên người có kinh nghiệm chạy vi phạm TPCN",https://vieclam24h.vn/marketing/nhan-vien-digital-marketing-c12p73id200288408.
Digital Marketing Executive,Công Ty TNHH Ngon Kitchen,Đại học,12 - 17 triệu,Hà Nội,06/12/2023,Chuyên viên- nhân viên,Khách sạn - Nhà hàng - Du lịch/Marketing,2 năm,Toàn thời gian cố định,2,"·      Nắm rõ các hệ thống đo lường, có khả năng phân tích, đọc hiểu và tối ưu chiến dịch dựa trên các chỉ số·      Từ 02 năm kinh nghiệm về chạy Ads trở lên (Facebook, Google,…)·      Sử dụng thành thạo các kênh, công cụ Digital Marketing, có kiến thức và kinh nghiệm về lĩnh vực Digital Marketing·      Ham học hỏi, không ngại thử thách·      Có khả năng làm việc độc lập, làm việc nhóm·      Ưu tiên ứng viên có khả năng viết content & sử dụng tiếng Anh cơ bản·      Kỹ năng tổ chức, lập kế hoạch, quản lý và báo cáo.",https://vieclam24h.vn/khach-san-nha-hang-du-lich/digital-marketing-executive-c5p73id200289800.
Nhân Viên Kinh Doanh (Làm Việc Tại Văn Phòng),Danko Group,Trung học,4 - 8 triệu,"Thái Nguyên,Tuyên Quang",06/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Bất động sản/Marketing,Chưa có kinh nghiệm,Toàn thời gian cố định,30,"- Nam/ nữ tuổi từ 20 trở lên. Nhanh nhẹn, nhiệt tình, có ý chí tiến thủ, đam mê kinh doanh, kiếm mức thu nhập lớn.- Có thể đi công tác",https://vieclam24h.vn/kd-bat-dong-san/nhan-vien-kinh-doanh-lam-viec-tai-van-phong-c121p84id100050886.
Thực Tập Sinh Marketing,Công Ty Cổ Phần Tập Đoàn Ukg,Đại học,1 - 1.5 triệu,Hà Nội,06/12/2023,Chuyên viên- nhân viên,Marketing/Thông tin - Truyền thông - Quảng cáo,Chưa có kinh nghiệm,Toàn thời gian cố định,2,"- Có gu thẩm mỹ về hình ảnh, sáng tạo, nhanh nhạy.   - Khả năng bắt trend tốt.   - Tư duy nhạy bén, yêu thích công việc sáng tạo nội dung,   - Nhiệt tình, năng động, có trách nhiệm với công việc.   ",https://vieclam24h.vn/marketing/thuc-tap-sinh-marketing-c12p73id200290321.
Nhân Viên Sale Kênh Mt,Công Ty TNHH Finest Fresh Food,Trung cấp,7.5 - 12 triệu,TP.HCM,06/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Chăm sóc khách hàng,1 năm,Toàn thời gian cố định,10,"Có kinh nghiệm trên 1 năm làm việc trong ngành hàng tiêu dùng / thực phẩm,Năng động, làm việc với tinh thần trách nhiệm cao và chịu đựng áp lực.Có khả năng giao tiếp, đàm phán và thuyết phục khách hàng tốt.",https://vieclam24h.vn/marketing/nhan-vien-sale-kenh-mt-c12p122id200290260.
Thực Tập Sinh Marketing,Công Ty TNHH Thương Mại & Dịch Vụ The Jamu Mommy Center,Cao đẳng,3 - 5 triệu,TP.HCM,06/12/2023,Chuyên viên- nhân viên,Marketing/Thực tập sinh,Chưa có kinh nghiệm,Toàn thời gian cố định,3,"Năng động, có khả năng quản lý dự án, quản lý tiến độ tốtCó khả năng kết nối, tương tác & làm việc nhóm tốtCó kiến thức nền tảng về Marketing, Truyền thông & DigitalƯu tiên ứng viên có kinh nghiệm sáng tạo hình ảnh, ý tưởng quay chụp, có tư duy hình ảnh tốtĐang là sinh viên theo học chuyên ngành Marketing, Truyền thông, PR, Báo chí. Có kiến thức chuyên mônBiết sử dụng Photoshop, Canva, xử lý video là lợi thế ",https://vieclam24h.vn/marketing/thuc-tap-sinh-marketing-c12p122id200289689.
Đại Diện Kinh Doanh - Thủ Đức,Công Ty Cổ Phần Thương Mại Kova,Trung học,7 - 15 triệu,TP.HCM,06/12/2023,Chuyên viên- nhân viên,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Marketing,1 năm,Toàn thời gian cố định,1,"- Tốt nghiệp THPT trở lên, 1 năm kinh nghiệm công việc tương đương- Chịu khó di chuyển thị trường,không ngại việc di chuyển- Kỹ năng chăm sóc khách hàng- Trung thực, chăm chỉ",https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/dai-dien-kinh-doanh-thu-duc-c6p122id200281795.
Nhân Viên Biên Tập Content Mảng Xuất Nhập Khẩu,Công Ty Cổ Phần Freshdi Việt Nam,Cao đẳng,7 - 15 triệu,TP.HCM,06/12/2023,Chuyên viên- nhân viên,Marketing/Xuất Nhập Khẩu/Truyền hình - Báo chí - Biên tập,2 năm,Toàn thời gian cố định,2,- Bằng cấp chuyên ngành hoặc kinh nghiệm tương đương trong lĩnh vực. - Am hiểu về AI là lợi thế.- Kỹ năng biên tập và sáng tạo nội dung xuất sắc.- Hiểu biết vững về SEO và xu hướng truyền thông trực tuyến.- Kỹ năng giao tiếp mạnh MẼ và khả năng làm việc nhóm tốt.- Am hiểu về công nghệ thông tin và các công cụ biên tập nội dung.,https://vieclam24h.vn/marketing/nhan-vien-bien-tap-content-mang-xuat-nhap-khau-c12p122id200290194.
Thực Tập Sinh Content Marketing,Công Ty TNHH Thương Mại Dịch Vụ Thiết Bị Kỹ Thuật An Phát,Cao đẳng,2 - 3 triệu,TP.HCM,06/12/2023,Chuyên viên- nhân viên,Marketing/Thực tập sinh,Dưới 1 năm,Toàn thời gian cố định,5,"·       Sinh viên năm 3- 4 hoặc mới ra trường/Tốt nghiệp CĐ, ĐH Chuyên ngành marketing, báo chí,...·       Có khả năng sử dụng phần mềm photoshop là một lợi thế·       Có laptop cá nhân để làm việc·       Yêu thích viết lách·       Cẩn thận, có trách nhiệm trong công việc·       Biết sử dụng các công cụ hỗ trợ chỉnh sửa bài viết, tối ưu content·       Ưu tiên ứng viên có kinh nghiệm về SEO 3 - 6 tháng",https://vieclam24h.vn/marketing/thuc-tap-sinh-content-marketing-c12p122id200289762.
"Nhân Viên Content Marketing - Làm Việc Ở Tây Mỗ, Nam Từ Liêm",Công Ty Cổ Phần Phát Triển Khoa Học Và Công Nghệ Môi Trường Vhl Việt Nam,Trung cấp,10 - 25 triệu,Hà Nội,06/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Thông tin - Truyền thông - Quảng cáo,Dưới 1 năm,Toàn thời gian cố định,2,"Có kinh nghiệm viết content, kịch bản video ngắn, có khả năng nói chuyện lưu loát, biết livestream là 1 lợi thếThực hiện các công việc khác theo yêu cầuCó laptopƯu tiên gần khu vực Tây Mỗ - Nam Từ Liêm",https://vieclam24h.vn/marketing/nhan-vien-content-marketing-lam-viec-o-tay-mo-nam-tu-liem-c12p73id200290218.
Thực Tập Kinh Doanh Dịch Vụ Mạng Viễn Thông Fpt,Công Ty Cổ Phần Viễn Thông Fpt,Trung cấp,8 - 9 triệu,Hà Nội,06/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Marketing/Chăm sóc khách hàng,Chưa có kinh nghiệm,Thực tập,6,"Trung cấp trở lên, từ 20 – 35 tuổi.Đam mê kinh doanh.Có kỹ năng giao tiếp, và đàm phán.Nhanh nhẹn, linh hoạt, giải quyết tình huống tốt.Có tư duy ""Khách hàng là trọng tâm"".",https://vieclam24h.vn/ban-hang-kinh-doanh/thuc-tap-kinh-doanh-dich-vu-mang-vien-thong-fpt-c13p73id200290095.
Trưởng Phòng Kinh Doanh,Công Ty Cổ Phần Môi Giới Bảo Hiểm Hưng Nghiệp,Trên đại học,25 - 100 triệu,TP.HCM,06/12/2023,Chuyên gia,Bảo hiểm/Marketing,3 năm,Toàn thời gian cố định,1,"Yêu cầu về trình độ: Ứng viên phải tốt nghiệp đại học với chuyên ngành Kinh tế, Quản trị kinh doanh tại nước ngoài.Yêu cầu về kinh nghiệm làm việc: Có 5 năm kinh nghiệm làm việc ở vị trí Giám đốc/Phó tổng giám đốc trong các công ty hoạt động trong lĩnh vực Bảo hiểm ở nước ngoài. Bên cạnh đó người lao động phải có khả năng quản lý, giám sát, có kiến thức chuyên sâu về lĩnh vực bảo hiểm, kinh doanh, tài chính doanh nghiệp, am hiểu các nguyên tắc liên quan đến tài chính kế toán, nghiệp vụ phân tích tài chính doanh nghiệp ở Việt Nam và quốc tế, có khả năng xử lý vấn đề tốt, chịu được áp lực công việc, có khả năng quản lý tài chính hiệu quả, chịu được áp lực công việc và đàm phán tốt. Đặc biệt, phải có khả năng giao tiếp tiếng Anh lưu loát để làm việc với các đối tác và khách hàng nước ngoài mang lại hiệu quả cao trong công việc.",https://vieclam24h.vn/bao-hiem/truong-phong-kinh-doanh-c23p122id200289902.
Nhân Viên SEO Marketing,Công Ty Cổ Phần Đầu Tư Hs Golf Việt Nam,Cao đẳng,12 - 16 triệu,Hà Nội,06/12/2023,Chuyên viên- nhân viên,Marketing/Thông tin - Truyền thông - Quảng cáo/IT Phần mềm,3 năm,Toàn thời gian cố định,3,"- Ưu tiên ứng viên có 3 năm kinh nghiệm trong lĩnh vực SEO.- Nắm rõ phương pháp SEO, SEM và sử dụng thành thạo công cụ SEO.- Hiểu biết về mạng xã hội, thành thạo các công cụ chat, các phần mềm văn phòng.- Kỹ năng phân tích, tổng hợp, lập kế hoạch và báo cáo.- Thái độ: ham học hỏi, khiêm nhường, có tinh thần trách nhiệm. ",https://vieclam24h.vn/marketing/nhan-vien-seo-marketing-c12p73id200290201.
Thực Tập Sinh Kinh Doanh Quốc Tế Xuất Nhập Khẩu,Công Ty Cổ Phần Xuất Nhập Khẩu Toàn Cầu Việt Tín,Trung cấp,2 - 50 triệu,Hà Nội,06/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Xuất Nhập Khẩu,Chưa có kinh nghiệm,Toàn thời gian cố định,3,"Sinh viên năm cuối (có thể đi làm full-time) hoặc Tốt nghiệp Đại học, Cao đẳng, Trung cấp các ngành Kinh tế, Ngoại ngữ,…. và các ngành có liên quan.Ứng viên chưa có kinh nghiệm sẽ được đào tạo.Tiếng Anh giao tiếp khá.Tinh thần trách nhiệm cao, linh hoạt và chủ động xử lý công việc phát sinh.",https://vieclam24h.vn/marketing/thuc-tap-sinh-kinh-doanh-quoc-te-xuat-nhap-khau-c12p73id200289882.
"Nhân Viên Nghiệp Vụ (Biết Tiếng Trung, Có Kinh Nghiệm Trong Ngành Giày Da)",Công Ty TNHH Nhựa Cây Trung Bộ (Việt Nam),Trung học,8 - 12 triệu,Bình Dương,06/12/2023,Chuyên viên- nhân viên,Marketing/Xuất Nhập Khẩu,1 năm,Toàn thời gian cố định,2,"- Kỹ năng giao tiếp tốt bằng tiếng Trung thành thạo nghe, nói, đọc, viết- Khả năng ngoại giao, giao tiếp tốt, xây dựng và gìn giữ quan hệ lâu dài với khách hàng; đối tác- Chủ động trong công việc",https://vieclam24h.vn/ngoai-thuong-xuat-nhap-khau/nhan-vien-nghiep-vu-biet-tieng-trung-co-kinh-nghiem-trong-nganh-giay-da-c157p119id100184324.
Video Editor,Công Ty TNHH Nhà Hàng Hàn Quốc Meat & Meet,Trung học,8 - 12 triệu,TP.HCM,06/12/2023,Chuyên viên- nhân viên,Marketing,1 năm,Toàn thời gian cố định,1,"Yêu cầu công việc- Có kinh nghiệm quay dựng video- Có khả năng dựng video bằng Premiere- Có khả năng sử dụng tin học văn phòng như Word,Excel- Có thể đi làm vào Chủ nhật (nghỉ trong tuần)Ưu tiên các ứng viên- Có thể giao tiếp bằng tiếng Anh - Có khả năng dựng các clip ngắn, có khả năng thiết kế cơ bản trên Canva, Capcut…- Biết lái xe máy để di chuyển giữa các địa điểm quay của nhà hàng- Vui vẻ, hoạt bát, cởi mở.Địa điểm làm việc- Làm việc tại các chi nhánh nhà hàng Hàn Quốc MEAT & MEET, chấp nhận các bạn Gen Z hoặc các bạn mới ra trường- Không yêu cầu bằng cấp chỉ cần đáp ứng đủ yêu cầu - Khi các bạn ứng tuyển vui lòng gửi kèm những nội dung sản phẩm đã làm hoặc tham gia",https://vieclam24h.vn/marketing/video-editor-c12p122id200290188.
Chuyên Viên Truyền Thông Và Phát Triển Văn Hoá,Công Ty Cổ Phần Thú Y Xanh Việt Nam,Không yêu cầu bằng cấp,14 - 16 triệu,Hà Nội,06/12/2023,Chuyên viên- nhân viên,Nhân sự/Thông tin - Truyền thông - Quảng cáo/Marketing,1 năm,Toàn thời gian cố định,1,"- Tốt nghiệp Đại học chuyên ngành nhân sự, báo chí, truyền thông, Quan hệ công chúng, Tổ chức sự kiện ………… - Tối thiểu 01 năm kinh nghiệm làm Truyên thông nội bộ tại các doanh nghiệp. - Ưu tiên ứng viên có thể sử dụng phần mềm Canva, Capcut, Photoshop.- Ngoại hình khá, năng động, tự tin, giao tiếp tốt, tư duy dịch vụ, linh hoạt trong ứng xử, Hiểu biết về quản trị nhân sự hiện đại,",https://vieclam24h.vn/nhan-su/chuyen-vien-truyen-thong-va-phat-trien-van-hoa-c22p73id200290135.
Nhân Viên Tổ Chức Sự Kiện - Event Executive - Ngành Dược Phẩm,Abbott Việt Nam,Cao đẳng,10 - 15 triệu,TP.HCM,06/12/2023,Chuyên viên- nhân viên,Hành chính - Thư ký/Marketing/Y tế - Chăm sóc sức khỏe,2 năm,Toàn thời gian tạm thời,1,"MINIMUM BACKGROUND/ EXPERIENCE REQUIRED1. Event execution- Two-year experience in event management & execution- Experience at event & activation agencies- Open for College or University, preferable in Marketing qualification",https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-to-chuc-su-kien-event-executive-nganh-duoc-pham-c1p122id200290155.
Nhân Viên Marketing Facebook Ads,Công Ty Cổ Phần Tập Đoàn Sendai,Trung cấp,6 - 30 triệu,Hà Nội,06/12/2023,Chuyên viên- nhân viên,Marketing,Dưới 1 năm,Toàn thời gian cố định,5,"- Ưu tiên ứng viên sinh năm 1999 đến 2k3- Kinh nghiệm từ 3 tháng về mảng Facebook Ads ( Không có kinh nghiệm sẽ được đào tạo)- Có kinh nghiệm chạy Ads hoặc sử dụng được Photoshop, Premiere pro là lợi thế.- Là người yêu thích quảng cáo, thử thách bản thân và chịu được áp lực cao- Thái độ nghiêm túc, cầu tiến, ham học hỏi- Trung thực, nhanh nhẹn, thẳng thắn, có tinh thần trách nhiệm- Có laptop cá nhân- Ưu tiên tốt nghiệp tại các trường chuyên ngành Marketing",https://vieclam24h.vn/marketing/nhan-vien-marketing-facebook-ads-c12p73id200290138.
Nhân Viên Tư Vấn Bán Hàng Ô Tô Tại Bình Dương (Kia - Mazda - Peugeot - Bmw),Công Ty TNHH MTV Trường Hải Bình Dương,Trung cấp,8 - 12 triệu,Bình Dương,06/12/2023,Chuyên viên- nhân viên,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Marketing,Chưa có kinh nghiệm,Toàn thời gian cố định,5,"- Tốt nghiệp các chuyên ngành Quản trị kinh doanh, Marketing, Thương mại dịch vụ, du lịch, nhà hàng, khách sạn, Công nghệ kỹ thuật ô tô, cơ khí động lực, cơ khí ô tô, luật kinh tế, hoặc các khối ngành liên quan đến khối kinh tế.- Độ tuổi: Từ 23 - 30 tuổi- Sinh viên mới ra trường sẽ được đào tạo.- Ngoại hình ưa nhìn, kỹ năng giao tiếp, giải quyết tình huống tốt.",https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-ban-hang-o-to-tai-binh-duong-kia-mazda-peugeot-bmw-c6p119id200260492.
Thực Tập Sinh Quay Phim - Chụp Hình,Công Ty Cổ Phần Đầu Tư Tập Đoàn Hanmicosmetic Global,Không yêu cầu bằng cấp,10 - 12 triệu,TP.HCM,05/12/2023,Cộng tác viên,Thiết kế - Sáng tạo nghệ thuật/Marketing/Thông tin - Truyền thông - Quảng cáo,Chưa có kinh nghiệm,Toàn thời gian cố định,2,"- Có kỹ năng chụp hình, quay phim- Biết xử lý chỉnh sửa hình ảnh",https://vieclam24h.vn/thiet-ke-sang-tao-nghe-thuat/thuc-tap-sinh-quay-phim-chup-hinh-c3p122id200290088.
Nhân Viên Marketing,Công Ty TNHH Thương Mại Và Sản Xuất Trúc Linh,Cao đẳng,7 - 10 triệu,Hà Nội,05/12/2023,Chuyên viên- nhân viên,Marketing,Dưới 1 năm,Toàn thời gian cố định,1,"- Hiểu biết về thị hiếu của người xem và biết cách tạo ra nội dung thu hút, ấn tượng.- Các công việc khác do BGĐ yêu cầu- Biết chạy quảng cáo- Biết sử dụng các công cụ Photoshop, ...- Nhiệt tình, nhanh nhẹn",https://vieclam24h.vn/marketing/nhan-vien-marketing-c12p73id200290006.
Nhân Viên Marketing Tại An Giang,Công Ty Cổ Phần Giải Pháp Môi Trường Ares,Đại học,7 - 9 triệu,An Giang,05/12/2023,Chuyên viên- nhân viên,Marketing/Môi trường - Xử lý chất thải,1 năm,Toàn thời gian cố định,1,"– Tốt nghiệp chuyên ngành Marketing, Kinh tế hoặc chuyên ngành về Môi trường có liên quan.– Có kinh nghiệm ở vị trí tương đương. Ưu tiên ứng viên đã hoặc đang công tác tại vị trí Digital Marketing Executive.– Khả năng sử dụng cơ bản các phần mềm như AutoCad, Photoshop, Ai.– Có khả năng viết: bài đăng fanpage, bài SEO website, bài PR, bài viết quảng cáo.– Có khả năng quản trị website, fanpage, group Facebook– Khả năng thiết kế hình ảnh và video, chụp ảnh, lên kịch bản, dựng clip.– Kỹ năng giao tiếp tốt.– Biết sắp xếp, bao quát công việc, quản lý thời gian làm việc tốt, khả năng học hỏi và làm việc dưới áp lực cao.",https://vieclam24h.vn/marketing/nhan-vien-marketing-tai-an-giang-c12p129id200290055.
Giám Sát Tiếp Thị PG Thị Trường - Long An (PG Supervisor / District Trade Manager) - Ngành Sữa Abbott,Abbott Việt Nam,Cao đẳng,20 - 25 triệu,Long An,05/12/2023,Quản lý nhóm- giám sát,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Marketing,3 năm,Toàn thời gian cố định,1,"- Tốt nghiệp Cao Đẳng trở lên.- Giao tiếp tốt, nhanh nhẹn, trung thực.- Có kinh nghiệm công việc tương đương về PG/Activation Supervisor, Trade Marketing Supervisor, Giám sát bán hàng, Giám sát kinh doanh, Sales Supervisor, Sale Team Leader.....trong ngành hàng sữa/FMCG/consumer.- Có kinh nghiệm, khả năng quản lý và đào tạo đội ngũ nhân viên với số lượng lớn.- Có thể đi field và chịu được áp lực công việc cao.- Kĩ năng sử dụng vi tính văn phòng tốt: Làm báo cáo và phân tích, đọc hiểu số liệu.",https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giam-sat-tiep-thi-pg-thi-truong-long-an-pg-supervisor-district-trade-manager-nganh-sua-abbott-c6p123id200290035.
Nhân Viên Truyền Thông Thương Hiệu,Công Ty Tnhh Vận Tải Bách Việt,Đại học,8 - 12 triệu,Đà Nẵng,05/12/2023,Chuyên viên- nhân viên,Marketing/Thông tin - Truyền thông - Quảng cáo/Hành chính - Thư ký,1 năm,Toàn thời gian cố định,1,"-        Nam, dưới 27 tuổi;-        Có kiến thức về truyền thông, đối ngoại, Marketing;-        Tốt nghiệp CĐ/ĐH chuyên ngành báo chí, truyền thông đa phương tiện, quan hệ công chúng… hoặc các chuyên ngành liên quan;-        Có kinh nghiệm 1 năm ở vị trí tương đương;-        Có kinh nghiệm thiết kế, dựng clip, photoshop,... là một lợi thế;",https://vieclam24h.vn/marketing/nhan-vien-truyen-thong-thuong-hieu-c12p104id200288926.
Thực Tập Sinh Thiết Kế,Công Ty TNHH Một Thành Viên Chuyển Phát Nhanh Thuận Phong - Chi Nhánh Thành Phố Hồ Chí Minh,Cao đẳng,2 - 3.3 triệu,TP.HCM,05/12/2023,Cộng tác viên,Thiết kế - Sáng tạo nghệ thuật/Marketing/Thông tin - Truyền thông - Quảng cáo,Chưa có kinh nghiệm,Khác,2,"· Có thể làm full-time· Biết Photoshop, AI, các công cụ chỉnh sửa ảnh...· Không ngại khó, không ngại áp lực và sẵn sàng học hỏi· Có thể full-time, ưu tiên sinh viên năm 3-4",https://vieclam24h.vn/thiet-ke-sang-tao-nghe-thuat/thuc-tap-sinh-thiet-ke-c3p122id200290029.
Nhân Viên Kinh Doanh Du Lịch,Công Ty Tnhh Thương Mại Và Du Lịch Kiwi,Trung cấp,7 - 50 triệu,TP.HCM,05/12/2023,Chuyên viên- nhân viên,Khách sạn - Nhà hàng - Du lịch/Bán hàng - Kinh doanh/Marketing,2 năm,Toàn thời gian cố định,5,"Nắm chắc nghiệp vụ về sale tourKhả năng giao tiếp và đàm phán tốt với nhiều phương thứcTrang bị các kỹ năng mềm thiết yếu và hiểu về quảng cáoKhả năng chịu áp lực và cường độ công việc caoÝ thức tổ chức kỷ luật tốt; yêu nghề, chủ động, sáng tạo; Có khả năng làm việc độc lập lẫn làm việc nhóm.Năng động, trung thực, nhiệt tình, cẩn thận, trách nhiệm, khả năng chịu được áp lực công việc caoSức khỏe tốt. Tác phong nhanh nhẹn, chuyên nghiệpKinh nghiệm 2 năm trở lên",https://vieclam24h.vn/khach-san-nha-hang-du-lich/nhan-vien-kinh-doanh-du-lich-c5p122id200289659.
Nhân Viên Kỹ Thuật Hỗ Trợ Bán Hàng,Công Ty TNHH MTV Thương Mại Dịch Vụ Thành Minh,Cao đẳng,6 - 10 triệu,Lào Cai,05/12/2023,Chuyên viên- nhân viên,Khoa học - Kỹ thuật/Bán hàng - Kinh doanh/Marketing,1 năm,Toàn thời gian cố định,4,"- Nam, yêu thích công việc kinh doanh, Thiết kế, sửa chữa kỹ thuât.(Ưu tiên đã được đào tạo hoặc có kinh nghiệm trong lĩnh vực kinh doanh, marketing)- Nhanh nhẹn, trung thực, mong muốn gắn bó lâu dài- Có tư duy tốt, nhiều ý tưởng triển khai hoạt động- Có laptop và phương tiện di chuyển cá nhân",https://vieclam24h.vn/khoa-hoc-ky-thuat/nhan-vien-ky-thuat-ho-tro-ban-hang-c34p78id200288168.
Nhân Viên Kinh Doanh Phần Mềm Website [Gò Vấp],Công Ty TNHH Thương Mại Dịch Vụ Công Nghệ Vina On,Không yêu cầu bằng cấp,3 - 18 triệu,TP.HCM,05/12/2023,Chuyên viên- nhân viên,Marketing/Chăm sóc khách hàng/Thực tập sinh,Dưới 1 năm,Toàn thời gian cố định,4,"- Có liên quan đến ngành học như: Quản trị kinh doanh, Marketing, Kinh tế, Công nghệ thông tin...- Thực hiện đúng nội quy công ty trong quá trình làm việc.- Phát huy khả năng thực lực hết mình trong công việc.- Bảo mật thông tin CTY và thông tin KH của CTY.- Thái độ làm việc tốt.- Không ngại khó khăn.",https://vieclam24h.vn/marketing/nhan-vien-kinh-doanh-phan-mem-website-go-vap-c12p122id200269227.
Trợ Lý Kols,Công Ty Cổ Phần Another Beginning,Không yêu cầu bằng cấp,5 - 10 triệu,TP.HCM,05/12/2023,Chuyên viên- nhân viên,Marketing/Thông tin - Truyền thông - Quảng cáo,1 năm,Theo hợp đồng tư vấn,2,"Có kinh nghiệm trong lĩnh vực tương tự (1-2 năm)- Yêu thích môi trường truyền thông, giải trí- Khả năng giao tiếp, giải quyết vấn đề tốt- Có tinh thần trách nhiệm, học hỏi, tích cực và chủ động trongcông việc.- Khả năng làm việc nhóm và giải quyết vấn đề tốt.- Có urgent mindset, chịu được áp lực công việc- Trung thực, nhiệt tình, năng động và có trách nhiệm với công việc.- Yêu thích và nhạy bén về thị trường giải trí trên các nền tảng(Facebook/YouTube/TikTok)",https://vieclam24h.vn/marketing/tro-ly-kols-c12p122id200289900.
Nhân Viên Vận Hành Thương Mại Điện Tử,Công Ty Cổ Phần Dược Thảo Kim Cương Vàng Plus,Cao đẳng,7 - 20 triệu,TP.HCM,05/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng,1 năm,Toàn thời gian cố định,1,"Yêu thích công việc kinh doanh onlineKinh nghiệm ngành thực phẩm chức năng, dinh dưỡng cao cấp (nếu có)Sử dụng thành thạo tin học văn phòng, các trang mạng xã hội trên máy tính và điện thoại.Ứng viên đã có kinh nghiệm livestream bán hàng",https://vieclam24h.vn/marketing/nhan-vien-van-hanh-thuong-mai-dien-tu-c12p122id200289987.
Sales Executive,Công Ty Cổ Phần Bao Bì Nhựa Tân Tiến,Đại học,10 - 20 triệu,"Bắc Ninh,TP.HCM",05/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Xuất bản - In ấn/Marketing,Dưới 1 năm,Toàn thời gian cố định,2,"Tốt nghiệp Đại học chuyên ngành Quản Trị Kinh Doanh, Ngoại Thương, Kinh tế, Hóa học...Năng động, chịu khó học hỏi và làm việc trong môi trường sản xuất.Có kiến thức về lĩnh vực sales B2B.Giao tiếp tiếng Anh tốtƯu tiện có từ 1-3 năm kinh nghiệm liên quan.",https://vieclam24h.vn/ban-hang-kinh-doanh/sales-executive-c13p90id200288238.
