Tên công việc,Công ty,Bằng cấp,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Số lượng,Yêu cầu,Link
Thực Tập Sinh Marketing,Công Ty TNHH Silicone Cao Gia,Cao đẳng,1 - 10 triệu,TP.HCM,15/12/2023,Cộng tác viên,Marketing/Thực tập sinh,Chưa có kinh nghiệm,Thực tập,5,Có kiến thức nền chuyên môn.Tốt nghiệp Cao Đẳng/ Đại học,https://vieclam24h.vn/marketing/thuc-tap-sinh-marketing-c12p122id200292722.
Nhân Viên Kinh Doanh,Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Bao Bì Đức Phát,Trung cấp,7 - 10 triệu,TP.HCM,15/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh,Dưới 1 năm,Toàn thời gian cố định,5,"Tốt nghiệp cách nghành nghề trung cấp trở lên6 tháng - 1 năm kinh nhiệm trong lĩnh vực saleKiên trì tìm kiếm khách hàng - chăm sóc khách hàngChịu khó giao tiếp, chủ động tiếp cận khách hàng",https://vieclam24h.vn/marketing/nhan-vien-kinh-doanh-c12p122id200290021.
Thực Tập Sinh Kinh Doanh - Nhận Việc Ngay,Công Ty Cổ Phần Phát Triển Giáo Dục Và Đào Tạo Odin,Không yêu cầu bằng cấp,1 - 5 triệu,Hà Nội,15/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Nhân sự,Chưa có kinh nghiệm,Bán thời gian cố định,5,"Yêu cầu độ tuổi từ 16 - 20Thời gian làm việc linh hoạt, tối thiểu 5 buổi/tuầnThái độ nghiêm túc, cầu tiếnKhông yêu cầu kinh nghiệm .",https://vieclam24h.vn/marketing/thuc-tap-sinh-kinh-doanh-nhan-viec-ngay-c12p73id200293155.
Nhân Viên Content,Công Ty TNHH Mỹ Phẩm Việt Nhật Na Am,Cao đẳng,4 - 6 triệu,Hà Nội,15/12/2023,Cộng tác viên,Marketing/Thông tin - Truyền thông - Quảng cáo/Truyền hình - Báo chí - Biên tập,1 năm,Bán thời gian tạm thời,1,"1.     Kiến thức: Cao đẳng trở lên2.     Độ tuổi, giới tính: Nữ từ 20-28 tuổi3.     Kinh nghiệm: ít nhất 1 năm năm kinh nghiệm trong công việc và lĩnh vực tương đương, Thành thạo tin học văn phòng;4.     Phẩm chất: có đam mê sáng tạo; có khả năng nắm bắt xu hướng, có tinh thần trách nhiệm, chịu được áp lực cao; có kỹ năng quản lý và làm việc cùng đối tác, có kỹ năng lập kế hoạch, theo dõi, kỹ năng giao tiếp linh hoạt,… Ưu tiên ứng viên biết kiến thức SEO.Làm việc online không cần đến văn phòng",https://vieclam24h.vn/marketing/nhan-vien-content-c12p73id200293145.
Giám Sát Hỗ Trợ Bán Hàng,Công Ty MTV Phân Phối Tổng Hợp,Không yêu cầu bằng cấp,7 - 10 triệu,Đà Nẵng,15/12/2023,Cộng tác viên,Bán hàng - Kinh doanh/Marketing,Chưa có kinh nghiệm,Toàn thời gian cố định,10,"* Thời Gian: làm việc giờ hành chính  - Sáng 8h - 17h  (trưa nghỉ 2h- Chủ nhật Off - hỗ trợ xoay ca )- Ca sáng: 8h - 11h30- Ca chiều: 13h30 - 17h* Độ Tuổi : NỮ 18 — 50 tuổi  - NAM 18 _ 35 tuổi vui vẻ (Không yêu cầu bằng cấp và kinh nghiệm) - Nơi làm việc: Thanh Khê, Hải Châu ",https://vieclam24h.vn/ban-hang-kinh-doanh/giam-sat-ho-tro-ban-hang-c13p104id200292900.
Trưởng Phòng Truyền Thông,Công ty Cổ phần Tập Đoàn EUROVIEW,Đại học,20 - 30 triệu,Hà Nội,15/12/2023,Quản lý cấp trung,Thông tin - Truyền thông - Quảng cáo/Marketing/Truyền hình - Báo chí - Biên tập,2 năm,Toàn thời gian cố định,1,"- Tốt nghiệp Đại học các chuyên ngành kinh tế, ngành quản trị kinh doanh, truyền thông, marketing,… hoặc chuyên ngành liên quan- Ít nhất 02 năm kinh nghiệm quản lý ở vị trí Trưởng Phòng Marketing hoặc tương đương- Có kinh nghiệm Branding và Digital trong lĩnh vực MKT tại các công ty liên quan đến lĩnh vực nhôm, kính, cửa cuốn, phụ kiện cửa, sắt thép, ionx, vật liệu xây dựng….- Có kiến thức Marketing tổng thể, có kinh nghiệm xây dựng chiến lược marketing ở mọi khía cạnh (branding, sản phẩm, phân phối,...)- Kĩ năng chuyên môn tốt về Digital Marketing (SEO/SEM, Google Analytics; Facebook Ads,,...)- Tư duy tốt về marketing (chiếc lược, customer insights, lập kế hoạch và triển khai hiệu quả)- Có khả năng xây dựng cơ chế tạo động lực, áp dụng các kỹ thuật đánh giá để thúc đẩy phát triển đội ngũ.",https://vieclam24h.vn/thong-tin-truyen-thong-quang-cao/truong-phong-truyen-thong-c24p73id200293123.
Nhân Viên Chăm Sóc Khách Hàng - Xử Lý Hồ Sơ,CÔNG TY TNHH AD ASTRA,Đại học,10 - 20 triệu,"TP.HCM,Đà Nẵng",15/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Marketing/Tài chính - Đầu tư - Chứng Khoán,1 năm,Toàn thời gian cố định,20,"University graduate.1-3 years of experience working in customer serviceFluent in spoken and written English is a MUSTHaving a basic understanding of finance is a plusHaving basic Microsoft Word and Excel skillsAble to work the night shiftCan work under a challenging and high-pressure environmentSubmit thorough work that you have double-checked for quality and consistencyHonest, polite, and fair to others.",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-cham-soc-khach-hang-xu-ly-ho-so-c13p122id200272768.
Nhân Viên Analyst (HCM),Gpg,Cao đẳng,6 - 10 triệu,TP.HCM,15/12/2023,Chuyên viên- nhân viên,Tài chính - Đầu tư - Chứng Khoán/Phân tích - Thống kê dữ liệu/Marketing,1 năm,Toàn thời gian cố định,1,"Bachelor´s degree in Business Administration, Finance, Economics, Marketing or related field. International education is a plus.At least 1 year of experience.Proven ability to build and maintain relationships with different stakeholders.Good judgment, especially in valuation matters, and strong analytical and logical thinking skills.Good planning & organizing skills.Self-motivated, results-driven, and willing to take on challenges with excellent judgment and intellectual skills.Capable of working independently and under high pressure.Must communicate well with both internal and external parties.Strong presentation skillFluent in English (4 skills: writing, speaking, listening, reading)Good at MS Office, especially Excel & Power Point.Have planning and organizing skill, have good teamwork spiritPositive, learning attitude, dedicated to the job",https://vieclam24h.vn/tai-chinh-dau-tu-chung-khoan/nhan-vien-analyst-hcm-c18p122id200292486.
Team Leader Marketing-Sales,Công Ty TNHH Thẩm Mỹ Quốc Tế Việt Hàn,Cao đẳng,18 - 25 triệu,TP.HCM,15/12/2023,Quản lý nhóm- giám sát,Marketing/Thông tin - Truyền thông - Quảng cáo,2 năm,Toàn thời gian cố định,1,"Tốt nghiệp Đại học/Cao đẳng chuyên ngành Marketing, Công nghệ thông tin hoặc các ngành nghề khác có liên quan;Có kỹ năng tốt về lập kế hoạch và triển khaiĐã từng lên kế hoạch Content cho BrandCó tham gia các khóa đào tạo chuyên sâu về Digital MarketingNgoại ngữ: Tiếng Anh giao tiếp và đọc hiểu tài liệu chuyên ngành;Kinh nghiệm ít nhất 2 năm trong ngành thẩm mỹ, làm đẹp",https://vieclam24h.vn/marketing/team-leader-marketing-sales-c12p122id200292934.
Nhân Viên Kinh Doanh,Công Ty TNHH Injae Vina,Trung cấp,8 - 12 triệu,TP.HCM,15/12/2023,Chuyên viên- nhân viên,Marketing/Nghề nghiệp khác,Chưa có kinh nghiệm,Toàn thời gian cố định,5,"Tiếng Anh khá trở lên, Có kinh nghiệm sales sẽ ưu tiên. Không có sẽ được đào tạo Yêu thích bán hàng, có nhu cầu làm việc lâu dài",https://vieclam24h.vn/marketing/nhan-vien-kinh-doanh-c12p122id200292673.
