Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Ecommerce Specialist,Rich Products Vietnam,Thương lượng,Cần Thơ,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, E Commerce",https://www.vietnamworks.com/ecommerce-specialist--1726020-jv?source=searchResults&searchType=2&placement=1726270&sortBy=date
Tổng Đài Viên | Nhân Viên Bán Hàng Qua Điện Thoại | Nhân Viên Dịch Vụ Khách Hàng | Nhân Viên Tiếp Thị Qua Điện Thoại,"Keding Enterprises Co., Ltd.",$600 - $1000,Hồ Chí Minh,06/12/2023,Mới Tốt Nghiệp,"<a property=""item"" typeof=""WebPage"" href=""https://www.vietnamworks.com/viec-lam?g=21"">Kinh Doanh","Cold Call, Telemarketing, Call Center, Outbound Sales, Customer Service",https://www.vietnamworks.com/tong-dai-vien-nhan-vien-ban-hang-qua-dien-thoai-nhan-vien-dich-vu-khach-hang-nhan-vien-tiep-thi-qua-dien-thoai-1722372-jv?source=searchResults&searchType=2&placement=1722622&sortBy=date
Senior Marketing Planner,Sti - Simple Tech Investment,$1000 - $1500,Hồ Chí Minh,09/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Analytics Skill, Time Management Skill, Market Research, English Language",https://www.vietnamworks.com/senior-marketing-planner--1723497-jv?source=searchResults&searchType=2&placement=1723747&sortBy=date
Trade Marketing Executive,Asiafoods Corporation,$700 - $1500,Hồ Chí Minh,06/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Data Analyst, FMCG, Trade Marketing, Nghiên Cứu Thị Trường",https://www.vietnamworks.com/trade-marketing-executive--1722334-jv?source=searchResults&searchType=2&placement=1722584&sortBy=date
(Cosmetics) Marketing Executive,"Shiseido Cosmetics Vietnam CO., LTD",Thương lượng,Hồ Chí Minh,06/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Cosmetic, Brand Marketing",https://www.vietnamworks.com/cosmetics-marketing-executive-1722415-jv?source=searchResults&searchType=2&placement=1722665&sortBy=date
Partnership Marketing Manager,Công Ty TNHH Befinancial,Thương lượng,Hồ Chí Minh,06/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Relationship Establishing, Relations Management, Partnership Relation, Partnership Development, Digital Banking",https://www.vietnamworks.com/partnership-marketing-manager--1722407-jv?source=searchResults&searchType=2&placement=1722657&sortBy=date
Product & Retail Marketing Assistant Manager,Estee Lauder Vietnam,Thương lượng,Hồ Chí Minh,06/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Product Maketing, Retail Marketing, Marketing Retail",https://www.vietnamworks.com/product-retail-marketing-assistant-manager-1722392-jv?source=searchResults&searchType=2&placement=1722642&sortBy=date
Livestream Coordinator cum Project Assistant,Abbott,Thương lượng,Hồ Chí Minh,06/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Project Schedule Management, Livestream, Project Timeline, Management Service, Administration Support",https://www.vietnamworks.com/livestream-coordinator-cum-project-assistant-1722162-jv?source=searchResults&searchType=2&placement=1722412&sortBy=date
Trưởng Phòng Marketing,Chi Nhánh Công Ty TNHH Thương Mại Quốc Tế Sao Á Việt,Thương lượng,Hải Phòng,06/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Kinh Doanh, Phân Tích Thị Trường, Phát Triển Kinh Doanh, Marketing Strategy, Marketing Planning",https://www.vietnamworks.com/truong-phong-marketing--1722419-jv?source=searchResults&searchType=2&placement=1722669&sortBy=date
Growth Marketing Manager (Mobile App),Công Ty Cổ Phần Đầu Tư Và Thương Mại Quốc Tế Icom,$1500 - $2000,Hà Nội,06/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Product, Performance Marketing, Marketing Ứng Dụng, Marketing Planning, Marketing Management",https://www.vietnamworks.com/growth-marketing-manager-mobile-app-1722267-jv?source=searchResults&searchType=2&placement=1722517&sortBy=date
