Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Content Marketing Specialist (Ngành Tư Vấn Du Học),Đức Anh Educonnect,Thương lượng,Hồ Chí Minh,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Education Programming, English, SEO Knowledge, Marketing Channel",https://www.vietnamworks.com/content-marketing-specialist-nganh-tu-van-du-hoc-1718641-jv?source=searchResults&searchType=2&placement=1718641&sortBy=date
Content Marketing Intern (Full-Time),ODM Group,Thương lượng,Hồ Chí Minh,11/12/2023,Thực tập sinh/Sinh viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Content Marketing, Social Media, Marketing Development, Marketing Planning",https://www.vietnamworks.com/content-marketing-intern-full-time-1723820-jv?source=searchResults&searchType=2&placement=1723820&sortBy=date
Marketing Content Officer/specialist,IDP Education (Vietnam),Thương lượng,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Copy Writer, Content Marketing, Social Content Marketing, Content Editing, Content",https://www.vietnamworks.com/marketing-content-officer-specialist--1726080-jv?source=searchResults&searchType=2&placement=1726080&sortBy=date
Thực Tập Sinh Viết Nội Dung (Social Content),Weset English Center,Thương lượng,Hồ Chí Minh,05/12/2023,Thực tập sinh/Sinh viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Nội Dung Website, Tạo Nội Dung, Content Creating, Content Copy Writer",https://www.vietnamworks.com/thuc-tap-sinh-viet-noi-dung-social-content--1721924-jv?source=searchResults&searchType=2&placement=1721924&sortBy=date
Content Creator - Dưới 1 Năm Kinh Nghiệm,Công Ty Cổ Phần Giáo Dục Jaxtina,Thương lượng,Hà Nội,24/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quảng Cáo, Digital Marketing, Google, PPC, Content",https://www.vietnamworks.com/content-creator-duoi-1-nam-kinh-nghiem-1718168-jv?source=searchResults&searchType=2&placement=1718168&sortBy=date
Thực Tập Sinh Content,Công Ty TNHH Sản Xuất Và Thương Mại Pure Group,Thương lượng,Hà Nội,05/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông, Content Creating, Sáng Tạo Nội Dung, SEO, Content Marketing",https://www.vietnamworks.com/thuc-tap-sinh-content--1721917-jv?source=searchResults&searchType=2&placement=1721917&sortBy=date
Intern Content Marketing,Công Ty TNHH MTV Mua Bán Và Cung Ứng Dịch Vụ Wina,Thương lượng,Hồ Chí Minh,08/12/2023,Thực tập sinh/Sinh viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Creation, Content Marketing, Sáng Tạo Nội Dung, Photoshop, Viết Lách",https://www.vietnamworks.com/intern-content-marketing--1723245-jv?source=searchResults&searchType=2&placement=1723245&sortBy=date
Senior Performance Marketing StaffUrgent job,Snow Việt Nam,Thương lượng,Hồ Chí Minh,01/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Performance Marketing, Digital Marketing, Technology Marketing, English, Marketing Strategy",https://www.vietnamworks.com/senior-performance-marketing-staff-1721050-jv?source=searchResults&searchType=2&placement=1721050&sortBy=date
Trưởng Ban Nội Dung Truyền Thông (Communications Content Manager),Công Ty Cổ Phần Sữa Việt Nam (Vinamilk),Thương lượng,Hồ Chí Minh,01/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông, Quan Hệ Công Chúng, Nội Dung PR, Tạo Nội Dung, Content",https://www.vietnamworks.com/truong-ban-noi-dung-truyen-thong-communications-content-manager--1721283-jv?source=searchResults&searchType=2&placement=1721283&sortBy=date
Nhân Viên SEO Marketing,SAPP Academy,Thương lượng,Hà Nội,15/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Phân tích từ khoá, Google Analytics, Content Marketing, Nghiên Cứu",https://www.vietnamworks.com/nhan-vien-seo-marketing--1725753-jv?source=searchResults&searchType=2&placement=1725753&sortBy=date
Associate Content Manager,Reckitt (Vietnam),Thương lượng,Hồ Chí Minh,01/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Trade Marketing, Content Creating, Content Management, Market Trend, Content Strategy",https://www.vietnamworks.com/associate-content-manager-1721134-jv?source=searchResults&searchType=2&placement=1721134&sortBy=date
Copywriter,Công Ty TNHH Airr Labs (Việt Nam),Thương lượng,Hồ Chí Minh,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông",Content Copy Writer,https://www.vietnamworks.com/copywriter--1725567-jv?source=searchResults&searchType=2&placement=1725567&sortBy=date
"Senior Content Marketing Specialist (Retail, US Market)",Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,$606 - $808,Hà Nội,23/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Copywriting, Digital Marketing, Facebook Ads, Product Marketing, English",https://www.vietnamworks.com/senior-content-marketing-specialist-retail-us-market-1717728-jv?source=searchResults&searchType=2&placement=1717728&sortBy=date
Nhân Viên Content CreatorUrgent job,Công Ty Cổ Phần Nội Dung Thể Thao Việt (Vietcontent Sports),Thương lượng,Hà Nội,23/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content, Viral Marketing, Video Editing, Photoshop, Sản Phẩm Thể Thao",https://www.vietnamworks.com/nhan-vien-content-creator--1717889-jv?source=searchResults&searchType=2&placement=1717889&sortBy=date
Thực Tập Sinh Livestream,Công Ty Cổ Phần Thương Mại Dịch Vụ Phân Phối Xuất Nhập Khẩu Mvot,Thương lượng,Hồ Chí Minh,04/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Viết Bài Cho Website, Sáng Tạo Nội Dung, Xây Dựng Kịch Bản, Content Fanpage",https://www.vietnamworks.com/thuc-tap-sinh-livestream--1721718-jv?source=searchResults&searchType=2&placement=1721718&sortBy=date
