Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Content LeaderUrgent job,Bumas - Thương Hiệu Tiện Ích Thông Minh Số 1 Việt Nam,$700 - $1000,Hà Nội,11/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content, Truyền Thông Tiếp Thị, Quản Lý, Content Leader",https://www.vietnamworks.com/content-leader--1723576-jv?source=searchResults&searchType=2&placement=1723626&sortBy=date
Content WriterUrgent job,Vietnamworks Client,$650 - $800,Hồ Chí Minh,29/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Writing, Content Marketing, Content, Content Copy Writer, SEO",https://www.vietnamworks.com/content-writer--1718619-jv?source=searchResults&searchType=2&placement=1718669&sortBy=date
Nhân Viên Content MarketingUrgent job,Hộ Kinh Doanh Phạm Đức Việt,$350 - $1000,Hà Nội,29/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, SEO, Content Writing, Content, Biên Tập Nội Dung",https://www.vietnamworks.com/nhan-vien-content-marketing--1719711-jv?source=searchResults&searchType=2&placement=1719761&sortBy=date
Video Content Creator/ Chuyên Viên Sáng Tạo Nội Dung Số,Tam Son International Joint Stock Company,Thương lượng,Hà Nội,29/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Public Speaking, Video Contents, Digital Content Writing, Content Creation, Social Media Content",https://www.vietnamworks.com/video-content-creator-chuyen-vien-sang-tao-noi-dung-so-1719625-jv?source=searchResults&searchType=2&placement=1719675&sortBy=date
Trưởng Phòng Nội Dung Marketing,Công Ty Cổ Phần Elmich,$1000 - $1500,Hà Nội,28/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Content Marketing, Content Leader, Google Analytics, Inbound Marketing",https://www.vietnamworks.com/truong-phong-noi-dung-marketing--1719060-jv?source=searchResults&searchType=2&placement=1719110&sortBy=date
Nhân Viên Content MarketingUrgent job,Công Ty TNHH Phát Triển Thương Mại BBS,Thương lượng,Hải Phòng,28/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quản Trị Kênh Truyền Thông, Viết Nội Dung Quảng Cáo, Content Creating, Xây Dựng Nội Dung, Triển Khai Ý Tưởng",https://www.vietnamworks.com/nhan-vien-content-marketing--1719320-jv?source=searchResults&searchType=2&placement=1719370&sortBy=date
Nhân Viên Content Marketing (8-12Tr) - Dưới 1 Năm Kinh Nghiệm,Công Ty TNHH Wine 1976,$400 - $600,Hà Nội,28/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quảng Cáo, Truyền Thông, Content Marketing, SEO, Email Marketing",https://www.vietnamworks.com/nhan-vien-content-marketing-8-12tr-duoi-1-nam-kinh-nghiem-1--1719149-jv?source=searchResults&searchType=2&placement=1719199&sortBy=date
Content Marketing (Dưới 1 Năm Kinh Nghiệm),Công Ty TNHH Thương Mại Dịch Vụ Lifestyle Việt Nam,Thương lượng,Hà Nội,28/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Writing, Sáng Tạo Nội Dung, Chiến Dịch Truyền Thông, Facebook Ads Content, Quảng Cáo Thương Hiệu",https://www.vietnamworks.com/content-marketing-duoi-1-nam-kinh-nghiem--1719334-jv?source=searchResults&searchType=2&placement=1719384&sortBy=date
Chuyên Viên Truyền Thông,Hệ Thống Giáo Dục Edufit,$600 - $800,Hà Nội,08/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Communication, Content, Public Relation, Brand Ambassador",https://www.vietnamworks.com/chuyen-vien-truyen-thong--1708430-jv?source=searchResults&searchType=2&placement=1708480&sortBy=date
Nhân Viên Marketing Content,Công Ty TNHH Dược Phẩm Y Tế MK,Thương lượng,Hồ Chí Minh,08/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Quản Lý Web, Tiếng Anh, SEO, Viết Bài Cho Website",https://www.vietnamworks.com/nhan-vien-marketing-content--1711799-jv?source=searchResults&searchType=2&placement=1711849&sortBy=date
Content Specialist,Công Ty Cổ Phần Sữa Quốc Tế IDP,Thương lượng,Hồ Chí Minh,08/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content, Content Marketing",https://www.vietnamworks.com/content-specialist--1723082-jv?source=searchResults&searchType=2&placement=1723132&sortBy=date
[$1100 - $1500] Brand Content LeadHeadhunt jobs,Navigos Search,$1100 - $1500,Hà Nội,04/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Media, Copywriting",https://www.vietnamworks.com/1100-1500-brand-content-lead-1721691-jv?source=searchResults&searchType=2&placement=1721741&sortBy=date
Copywriter/Content Lead - Fashion/lifestyleHeadhunt jobs,Navigos Search'S Client,Thương lượng,Hồ Chí Minh,04/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Leader, Content Copy Writer, Fashion, Lifestyle, Editorial Content",https://www.vietnamworks.com/copywriter-content-lead-fashion-lifestyle-1721539-jv?source=searchResults&searchType=2&placement=1721589&sortBy=date
E-Commerce and Digital Marketing Executive - FMCGHeadhunt jobs,Navigos Search'S Client,Thương lượng,Hồ Chí Minh,04/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Execution, Digital Marketing, E Commerce, FMCG, Content",https://www.vietnamworks.com/e-commerce-and-digital-marketing-executive-fmcg-1721533-jv?source=searchResults&searchType=2&placement=1721583&sortBy=date
Content Leader (Fashion OR Lifestyle)Headhunt jobs,Navigos Search'S Client,$1000 - $1500,Hồ Chí Minh,29/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","English, Content Copy Writer, Content",https://www.vietnamworks.com/content-leader-fashion-or-lifestyle-1720176-jv?source=searchResults&searchType=2&placement=1720226&sortBy=date
Marketing Support Executive - Chuyên Viên Hỗ Trợ MarketingHeadhunt jobs,Navigos Search,Thương lượng,Hồ Chí Minh,29/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Support, English",https://www.vietnamworks.com/marketing-support-executive-chuyen-vien-ho-tro-marketing-1719856-jv?source=searchResults&searchType=2&placement=1719906&sortBy=date
