Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Trade Marketing Specialist,Carlsberg Vietnam,Thương lượng,Thừa Thiên Huế,11/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","FMCG, Data Analysis, Branding POSM, Trade Marketing, Market Research",https://www.vietnamworks.com/trade-marketing-specialist--1720644-jv?source=searchResults&searchType=2&placement=1720694&sortBy=date
Nhân Viên Marketing/ads - Lương Từ 9- 13 TriệuUrgent job,Công Ty Cổ Phần Công Nghệ Betech,$400 - $600,Hà Nội,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quảng Cáo Adwords, Facebook Ads, Viết Nội Dung Quảng Cáo, Online Marketing, Marketing Planning",https://www.vietnamworks.com/nhan-vien-marketing-ads-luong-tu-9-13-trieu-1720486-jv?source=searchResults&searchType=2&placement=1720536&sortBy=date
Trade Marketing Executive,POLY Educational Services Company,$400 - $1000,Hồ Chí Minh,30/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Trade Marketing, Marketing Budgeting, Cost Analysis, English, MS Office",https://www.vietnamworks.com/trade-marketing-executive--1718974-jv?source=searchResults&searchType=2&placement=1719024&sortBy=date
Nhân Viên Phụ Trách Thương Mại Điện TửUrgent job,Công Ty Cổ Phần Nội Dung Thể Thao Việt (Vietcontent Sports),Thương lượng,Hà Nội,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","E Commerce, Quản Lý Bán Hàng, Thương Mại Điện Tử, Sàn Thương Mại Điện Tử, Phát Triển Thương Mại Điện Tử",https://www.vietnamworks.com/nhan-vien-phu-trach-thuong-mai-dien-tu--1720270-jv?source=searchResults&searchType=2&placement=1720320&sortBy=date
Field Trade Marketing Executive,"Taisho Vietnam Co., LTD",$500 - $700,Hà Nội,11/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Trade Marketing, Tiếp Thị Thương Mại, FMCG, Digital Marketing, Content",https://www.vietnamworks.com/field-trade-marketing-executive-1723611-jv?source=searchResults&searchType=2&placement=1723661&sortBy=date
Content LeaderUrgent job,Bumas - Thương Hiệu Tiện Ích Thông Minh Số 1 Việt Nam,$700 - $1000,Hà Nội,11/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content, Truyền Thông Tiếp Thị, Quản Lý, Content Leader",https://www.vietnamworks.com/content-leader--1723576-jv?source=searchResults&searchType=2&placement=1723626&sortBy=date
Brand MerchandiserUrgent job,Công Ty TNHH AQUA Retail Việt Nam,$530 - $750,Hà Nội,29/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Merchandising, Supply Chain, Franchise Business, Retail, Branding",https://www.vietnamworks.com/brand-merchandiser-1708505-jv?source=searchResults&searchType=2&placement=1708555&sortBy=date
Trade Marketing,Công Ty Cổ Phần Nature Gift PHARMA,Thương lượng,Hồ Chí Minh,28/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Promotion Planning, FMCG, Marketing Budget Management, Trade Marketing, Digital Marketing",https://www.vietnamworks.com/trade-marketing-102--1719345-jv?source=searchResults&searchType=2&placement=1719395&sortBy=date
Strategic Pricing Assistant Manager,Cargill Vietnam,Thương lượng,Hồ Chí Minh,28/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Pricing Analysis, Pricing Strategy, Market Pricing, Pricing Management, Pricing",https://www.vietnamworks.com/strategic-pricing-assistant-manager--1719283-jv?source=searchResults&searchType=2&placement=1719333&sortBy=date
Digital Marketing Executive,Muamau Ecommerce Company,$500 - $750,Hồ Chí Minh,28/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Advertising, Campaign Marketing, Media, Planning Marketing Strategy",https://www.vietnamworks.com/digital-marketing-executive--1719276-jv?source=searchResults&searchType=2&placement=1719326&sortBy=date
Trade Marketing (Sampling Sản Phẩm),Công Ty TNHH Wellness Lifestyle,Từ $300,Hà Nội,28/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Markeitng, Truyền Thông, Thực Phẩm Chức Năng, Marketing Strategy, Quản Lý Rủi Ro",https://www.vietnamworks.com/trade-marketing-sampling-san-pham--1719406-jv?source=searchResults&searchType=2&placement=1719456&sortBy=date
Product Marketing Assistant Manager (Phone)Headhunt jobs,Navigos Search'S Client,$1000 - $1500,Hồ Chí Minh,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","English, Product Marketing, Trade Marketing, Consumer Electronics",https://www.vietnamworks.com/product-marketing-assistant-manager-phone-1719018-jv?source=searchResults&searchType=2&placement=1719068&sortBy=date
Group Brand ManagerHeadhunt jobs,Navigos Search,Thương lượng,Hồ Chí Minh,24/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông",Branding Marketer,https://www.vietnamworks.com/group-brand-manager-22-1718086-jv?source=searchResults&searchType=2&placement=1718136&sortBy=date
HR Executive (Chinese)Headhunt jobs,Navigos Search'S Client,Thương lượng,Hồ Chí Minh,23/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Chinese, Nhân Sự, Tuyển Dụng, HR, Admin",https://www.vietnamworks.com/hr-executive-chinese-1717627-jv?source=searchResults&searchType=2&placement=1717677&sortBy=date
